Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Fisherman Wade,FALSE,Route 118,Fisherman Wade - Route 118,Kingler,Crabhammer,Hyper Beam,Double-Edge,X-Scissors,Whiscash,Earthquake,Surf,Rock Slide,Ice Beam,Seadra,Hydro Pump,Ice Beam,Dragonbreath,Octazooka,Wailmer,Water Spout,Ice Beam,Earthquake,Selfdestruct,,,,,,,,,,,FALSE,Lum Berry,Mild,31,43,Mystic Water,Gentle,31,42,Lum Berry,Quiet,31,43,Quick Claw,Brave,31,43,,,,,,,,
Fisherman Barny,FALSE,Route 118,Fisherman Barny - Route 118,Corsola,Mirror Coat,Recover,Surf,Ancientpower,Seaking,Megahorn,Surf,Double-Edge,Drill Run,Mantine,Confuse Ray,Surf,Ice Beam,Air Slash,Huntail,Crunch,Surf,Ice Beam,Confuse Ray,,,,,,,,,,,FALSE,Lum Berry,Hasty,31,43,Lum Berry,Lax,31,42,Lum Berry,Quiet,31,42,Lum Berry,Naughty,31,42,,,,,,,,
Bird Keeper Perry,FALSE,Route 118,Bird Keeper Perry - Route 118,Noctowl,Hypnosis,Return,Fly,Night Shade,Pidgeot,Fly,Quick Attack,Return,Steel Wing,Togetic,Fly,Softboiled,Thunder Wave,Seismic Toss,Fearow,Quick Attack,Drill Run,Tri Attack,Fly,,,,,,,,,,,FALSE,Leftovers,Relaxed,31,42,Leftovers,Sassy,31,42,Leftovers,Bold,31,43,Lum Berry,Hardy,31,42,,,,,,,,
Youngster Deandre,FALSE,Route 118,Youngster Deandre - Route 118,Raticate,Shadow Ball,Quick Attack,Return,Super Fang,Arbok,Poison Fang,Glare,Earthquake,Giga Drain,Sandslash,Swords Dance,Earthquake,X-Scissors,Rock Slide,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Rash,31,43,Miracle Seed,Hardy,31,43,Lum Berry,Hardy,31,42,,,,,,,,,,,,
Guitarist Dalton,FALSE,Route 118,Guitarist Dalton - Route 118,Electrode,Thunder Wave,Thunderbolt,Signal Beam,Explosion,Exploud,Hyper Voice,Earthquake,Ice Beam,Flamethrower,Jynx,Perish Song,Mean Look,Protect,Ice Beam,Ludicolo,Teeter Dance,Giga Drain,Waterfall,Ice Beam,,,,,,,,,,,FALSE,Silverpowder,Rash,31,44,Nevermeltice,Bold,31,43,Lum Berry,Hardy,31,42,Miracle Seed,Modest,31,41,,,,,,,,
Bird Keeper Chester,FALSE,Route 118,Bird Keeper Chester - Route 118,Togetic,Follow Me,Softboiled,,,Swellow,Facade,Quick Attack,Aerial Ace,Steel Wing,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Brave,31,44,Silk Scarf,Careful,31,42,,,,,,,,,,,,,,,,
Aroma Lady Rose,FALSE,Route 118,Aroma Lady Rose - Route 118,Breloom,Spore,Focus Punch,Mach Punch,,Meganium,Swords Dance,Earthquake,Ancientpower,Synthesis,,,,,,,,,,,,,,,,,,,,,FALSE,Black Belt,Hardy,31,44,Leftovers,Hardy,31,43,,,,,,,,,,,,,,,,
Bug Catcher Kent,FALSE,Route 119,Bug Catcher Kent - Route 119,Weedle,Poison Sting,String Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Poison Barb,Calm,31,100,,,,,,,,,,,,,,,,,,,,
Bug Catcher Greg,FALSE,Route 119,Bug Catcher Greg - Route 119,Metapod,Iron Defense,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Adamant,31,100,,,,,,,,,,,,,,,,,,,,
Bug Maniac Donald,FALSE,Route 119,Bug Maniac Donald - Route 119,Cascoon,Iron Defense,Tackle,Poison Sting,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Naive,31,100,,,,,,,,,,,,,,,,,,,,
Bug Maniac Taylor,FALSE,Route 119,Bug Maniac Taylor - Route 119,Silcoon,Iron Defense,Tackle,Poison Sting,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Hardy,31,100,,,,,,,,,,,,,,,,,,,,
Bug Catcher Doug,FALSE,Route 119,Bug Catcher Doug - Route 119,Kakuna,Poison Sting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Choice Band,Relaxed,31,100,,,,,,,,,,,,,,,,,,,,
Bug Maniac Brent,FALSE,Route 119,Bug Maniac Brent - Route 119,Wurmple,Tackle,String Shot,Poison Sting,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Leftovers,Bold,31,100,,,,,,,,,,,,,,,,,,,,
Fisherman Chris,FALSE,Route 119,Fisherman Chris - Route 119,Magikarp,Flail,Tackle,Bounce,,Tentacruel,Acid,Bubblebeam,Sludge Bomb,Toxic,Feebas,Flail,Tackle,Bounce,,Sharpedo,Crunch,Ancientpower,Poison Fang,Hydro Pump,,,,,,,,,,,FALSE,,Quiet,31,100,,Jolly,31,40,,Lax,31,100,,Hardy,31,44,,,,,,,,
Bird Keeper Hugh,FALSE,Route 119,Bird Keeper Hugh - Route 119,Dodrio,Drill Peck,Hyper Beam,Steel Wing,Body Slam,Altaria,Dragon Claw,Ice Beam,Aerial Ace,Earthquake,Skarmory,Drill Peck,Flash Cannon,Rock Slide,Return,Swellow,Aerial Ace,Hyper Beam,Facade,Steel Wing,,,,,,,,,,,FALSE,Silk Scarf,Hardy,31,44,Lum Berry,Hardy,31,44,Leftovers,Jolly,31,45,Silk Scarf,Relaxed,31,44,,,,,,,,
Pkmn Ranger Catherine,FALSE,Route 119,Pkmn Ranger Catherine - Route 119,Manectric,Thunder,Crunch,Quick Attack,Iron Tail,Politoed,Waterfall,Belly Drum,Return,Earthquake,Victreebel,HP Rock,Sleep Powder,Gunk Shot,Leaf Blade,Ursaring,Facade,Earthquake,Return,Brick Break,,,,,,,,,,,FALSE,Lum Berry,Sassy,31,45,Leftovers,Hardy,31,45,Lum Berry,Lonely,31,45,Silk Scarf,Jolly,31,45,,,,,,,,
Pkmn Ranger Jackson,FALSE,Route 119,Pkmn Ranger Jackson - Route 119,Primeape,Brick Break,Earthquake,Rock Slide,Body Slam,Crawdaunt,Pursuit,Crabhammer,X-Scissors,HP Flying,Jolteon,Thunder,Quick Attack,Bite,Reflect,Tauros,Hyper Beam,Earthquake,Return,Rest,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,45,Lum Berry,Hasty,31,45,Lum Berry,Rash,31,45,Chesto Berry,Naughty,31,44,,,,,,,,
Ninja Boy Yasu,FALSE,Route 119,Ninja Boy Yasu - Route 119,Absol,Shadow Ball,Swords Dance,Quick Attack,HP Fight,Banette,Shadow Sneak,Shadow Ball,Thunder,Confuse Ray,Sudowoodo,Rock Slide,Double-Edge,Earthquake,HP Bug,Ninjask,Aerial Ace,Signal Beam,Double-Edge,HP Ground,,,,,,,,,,,FALSE,Lum Berry,Calm,31,45,Spell Tag,Rash,31,44,Quick Claw,Lax,31,45,Lum Berry,Hardy,31,45,,,,,,,,
Bird Keeper Phil  + Parasol Lady Missy,TRUE,Route 119,Bird Keeper Phil  + Parasol Lady Missy - Route 119,Fearow,Drill Peck,Quick Attack,Hyper Beam,Steel Wing,Xatu,Drill Peck,Psychic,Reflect,Light Screen,,,,,,Granbull,Earthquake,Attract,Body Slam,Shadow Ball,Mawile,Attract,Protect,Flash Cannon,Brick Break,,,,,,TRUE,Choice Band,Hardy,31,45,Leftovers,Hardy,31,45,,,,,Soft Sand,Timid,31,44,Leftovers,Hardy,31,46,,,,
Bug Maniac Darrin,FALSE,Route 119,Bug Maniac Darrin - Route 119,Masquerain,Hydro Pump,Ice Beam,Signal Beam,Air Slash,Pinsir,X-Scissors,Earthquake,HP Rock,Quick Attack,Vibrava,Earthquake,Signal Beam,HP Rock,Giga Drain,,,,,,,,,,,,,,,,FALSE,Lum Berry,Lax,31,45,Lum Berry,Calm,31,45,Brightpowder,Hardy,31,44,,,,,,,,,,,,
Ninja Boy Takashi,FALSE,Route 119,Ninja Boy Takashi - Route 119,Weezing,Destiny Bond,Sludge Bomb,Thunder,Shadow Ball,Lunatone,Hypnosis,Psychic,Ice Beam,Ancientpower,Misdreavus,Thunder,Shadow Ball,Psychic,Shadow Sneak,,,,,,,,,,,,,,,,FALSE,Lum Berry,Impish,31,45,Hard Stone,Hardy,31,45,Spell Tag,Gentle,31,46,,,,,,,,,,,,
Team Aqua Grunt #1,FALSE,Weather Institute,Team Aqua Grunt #1 - Weather Institute,Sharpedo,Earthquake,Crunch,Hydro Pump,Poison Fang,Exeggutor,Sleep Powder,Egg Bomb,Explosion,Psychic,Quagsire,Sludge Bomb,Earthquake,Muddy Water,Recover,Dragonair,Thunder Wave,Double-Edge,Ice Beam,Surf,Seviper,Glare,Poison Tail,Earthquake,Giga Drain,Slowbro,Thunder Wave,Psychic,Earthquake,Ice Beam,FALSE,Brightpowder,Hardy,31,46,Quick Claw,Timid,31,45,Lum Berry,Bold,31,46,Brightpowder,Hardy,31,45,King'S Rock,Quiet,31,45,Leftovers,Jolly,31,46
Team Aqua Grunt #2,FALSE,Weather Institute,Team Aqua Grunt #2 - Weather Institute,Electrode,Thunder Wave,Thunderbolt,Endure,Explosion,Octillery,Water Spout,Fire Blast,Ice Beam,Double-Edge,Cradily,Toxic,Recover,Ancientpower,Earthquake,Starmie,Thunder Wave,Signal Beam,Psychic,Surf,Muk,Gunk Shot,Explosion,Brick Break,Giga Drain,Walrein,Toxic,Protect,Ice Beam,Earthquake,FALSE,Liechi Berry,Hardy,31,45,Quick Claw,Bold,31,46,Leftovers,Lax,31,45,King'S Rock,Mild,31,46,Quick Claw,Rash,31,45,Leftovers,Impish,31,46
Team Aqua Grunt #3,FALSE,Weather Institute,Team Aqua Grunt #3 - Weather Institute,Cloyster,Ice Beam,Surf,Tri Attack,Explosion,Whiscash,Dragon Dance,Earthquake,HP Flying,Rock Slide,Umbreon,Toxic,Confuse Ray,Moonlight,Pursuit,Omastar,Surf,HP Grass,Ice Beam,Ancientpower,Wobbuffet,Counter,Mirror Coat,Destiny Bond,Safeguard,Gorebyss,Hydro Pump,Ice Beam,HP Electric,Confuse Ray,FALSE,Focus Band,Timid,31,46,Lum Berry,Jolly,31,46,Leftovers,Jolly,31,45,Brightpowder,Relaxed,31,46,Leftovers,Hasty,31,45,Lum Berry,Lax,31,46
Team Aqua Grunt #4,FALSE,Weather Institute,Team Aqua Grunt #4 - Weather Institute,Armaldo,Ancientpower,Earthquake,X-Scissors,Agility,Kabutops,Rain Dance,Ancientpower,Surf,X-Scissors,Poliwrath,Hypnosis,Ice Beam,Brick Break,Earthquake,Ursaring,Earthquake,Double-Edge,Yawn,Facade,Ludicolo,Rain Dance,Leech Seed,Waterfall,Ice Beam,Tentacruel,Mirror Coat,Sludge Bomb,Muddy Water,Ice Beam,FALSE,Lum Berry,Quiet,31,46,Brightpowder,Timid,31,47,Leftovers,Gentle,31,47,Leftovers,Lonely,31,45,Leftovers,Timid,31,46,Leftovers,Rash,31,46
Team Aqua Grunt #5,FALSE,Weather Institute,Team Aqua Grunt #5 - Weather Institute,Qwilfish,Rain Dance,Sludge Bomb,Explosion,Hydro Pump,Dragonair,Rain Dance,Thunder,Surf,Body Slam,Huntail,Rain Dance,Double-Edge,Muddy Water,Ice Beam,Mantine,Rain Dance,Surf,Ice Beam,Confuse Ray,Lanturn,Rain Dance,Thunder,Surf,Ice Beam,Dewgong,Rain Dance,Surf,Ice Beam,Body Slam,FALSE,Lum Berry,Lonely,31,46,Brightpowder,Brave,31,46,King'S Rock,Lax,31,47,Focus Band,Hardy,31,47,Leftovers,Lax,31,46,King'S Rock,Hardy,31,46
Aqua Admin Shelly,FALSE,Weather Institute,Aqua Admin Shelly - Weather Institute,Milotic,Mirror Coat,Ice Beam,Surf,Recover,Hypno,Hypnosis,Psychic,Signal Beam,Fire Punch,Shuckle,Toxic,Double Team,Rest,Protect,Medicham,Fake Out,Brick Break,Shadow Ball,Rock Slide,Dragonite,Thunder Wave,Surf,Dragon Claw,Return,Lapras,Surf,Ice Beam,Thunderbolt,Drill Run,FALSE,Lum Berry,Hardy,31,48,Leftovers,Bold,31,47,Leftovers,Careful,31,47,Lum Berry,Rash,31,47,Lum Berry,Adamant,31,48,Leftovers,Impish,31,49
Pkmn Trainer May,FALSE,Weather Institute,Pkmn Trainer May - Weather Institute,Raichu,Thunder,Surf,Signal Beam,Rain Dance,Clefable,Thunder,HP Water,Body Slam,Ice Beam,Nidoqueen,Earthquake,Poison Tail,Thunder,Surf,Meganium,Giga Drain,Earthquake,Ancientpower,Synthesis,Blastoise,Water Spout,Mirror Coat,Ice Beam,HP Electric,,,,,,FALSE,Lum Berry,Impish,31,50,Lum Berry,Rash,31,50,Lum Berry,Rash,31,50,Lum Berry,Brave,31,50,Lum Berry,Modest,31,50,,,,
Guitarist Beth,FALSE,Weather Institute,Guitarist Beth - Weather Institute,Wigglytuff,Sing,Hyper Voice,Brick Break,Shadow Ball,Swalot,Sing,Giga Drain,Sludge Bomb,Brick Break,Azumarill,Sing,Return,Surf,Ice Beam,Electabuzz,Thunder,Ice Punch,Cross Chop,Psychic,,,,,,,,,,,FALSE,Leftovers,Hasty,31,48,Poison Barb,Gentle,31,48,Mystic Water,Quiet,31,47,Lum Berry,Brave,31,49,,,,,,,,
Ninja Boy Hideo,FALSE,Weather Institute,Ninja Boy Hideo - Weather Institute,Kecleon,Fake Out,Brick Break,Shadow Sneak,Double-Edge,Octillery,Octazooka,Ice Beam,Body Slam,Gunk Shot,Cacturne,Destiny Bond,Needle Arm,Brick Break,Faint Attack,Ditto,Transform,,,,,,,,,,,,,,FALSE,Lum Berry,Naive,31,50,Leftovers,Careful,31,48,Brightpowder,Hardy,31,48,Leppa Berry,Lonely,31,50,,,,,,,,
Bird Keeper Robert,FALSE,Route 120,Bird Keeper Robert - Route 120,Dodrio,Quick Attack,Hyper Beam,Steel Wing,Drill Peck,Altaria,Dragon Claw,Flamethrower,Ice Beam,Aerial Ace,Swellow,Quick Attack,Facade,Aerial Ace,Endeavor,,,,,,,,,,,,,,,,FALSE,Choice Band,Hasty,31,50,Leftovers,Lax,31,50,Silk Scarf,Naive,31,50,,,,,,,,,,,,
Parasol Lady Clarissa,FALSE,Route 120,Parasol Lady Clarissa - Route 120,Parasect,Spore,Giga Drain,X-Scissors,Brick Break,Politoed,Surf,Ice Beam,Earthquake,Hypnosis,Jynx,Lovely Kiss,Psychic,Ice Beam,Signal Beam,,,,,,,,,,,,,,,,FALSE,Quick Claw,Mild,31,50,Leftovers,Modest,31,50,Silverpowder,Hardy,31,50,,,,,,,,,,,,
Ninja Boy Riley,FALSE,Route 120,Ninja Boy Riley - Route 120,Ninjask,Giga Drain,X-Scissors,Dig,Aerial Ace,Azumarill,Camouflage,Double-Edge,Surf,Brick Break,Kecleon,Fake Out,Shadow Ball,Brick Break,Body Slam,Shedinja,Shadow Sneak,Shadow Ball,X-Scissors,Return,,,,,,,,,,,FALSE,Miracle Seed,Timid,31,51,Silk Scarf,Lonely,31,50,Silk Scarf,Sassy,31,51,Focus Band,Naive,31,51,,,,,,,,
Interviewers Gabby & Ty,FALSE,Route 120,Interviewers Gabby & Ty - Route 120,Exploud,Hyper Voice,Teeter Dance,Earthquake,Shadow Ball,Xatu,Psychic,Giga Drain,Drill Peck,Quick Attack,Lunatone,Psychic,Ice Beam,Calm Mind,Moonlight,Chimecho,Psychic,Hypnosis,Signal Beam,Recover,,,,,,,,,,,TRUE,Silk Scarf,Gentle,31,53,Lum Berry,Bold,31,52,Leftovers,Rash,31,51,Silk Scarf,Bold,31,52,,,,,,,,
Pkmn Ranger Ashley,FALSE,Fortree Gym,Pkmn Ranger Ashley - Fortree Gym,Stantler,Hypnosis,Return,HP Flying,Earthquake,Pidgeot,Sky Attack,Double-Edge,Quick Attack,HP Ground,Sudowoodo,Earthquake,Ancientpower,Double-Edge,HP Flying,Heracross,Megahorn,Brick Break,Rock Slide,HP Ghost,Raichu,Thunderbolt,Surf,HP Flying,Brick Break,Ludicolo,Fake Out,Surf,Giga Drain,Ice Beam,FALSE,Lum Berry,Hardy,31,50,Leftovers,Brave,31,53,Quick Claw,Careful,31,52,Quick Claw,Rash,31,51,Lum Berry,Mild,31,50,Leftovers,Hardy,31,51
Bird Keeper Jared,FALSE,Fortree Gym,Bird Keeper Jared - Fortree Gym,Swellow,Double-Edge,Sky Attack,HP Fight,,Skarmory,Spikes,Flash Cannon,Sky Attack,HP Ground,Pelipper,Hydro Pump,Ice Beam,HP Electric,Surf,Tropius,Earthquake,Ancientpower,Leaf Blade,Air Slash,Magmar,Fire Blast,Mach Punch,Thunderpunch,HP Grass,Altaria,Sing,Dragon Dance,Earthquake,Sky Attack,FALSE,Choice Band,Timid,31,51,Brightpowder,Mild,31,53,Brightpowder,Lax,31,52,Brightpowder,Hardy,31,52,Lum Berry,Lax,31,50,Lum Berry,Lonely,31,53
Ninja Boy Edwardo,FALSE,Fortree Gym,Ninja Boy Edwardo - Fortree Gym,Forretress,Spikes,Explosion,Rock Slide,Earthquake,Dusclops,Shadow Ball,Brick Break,Protect,Toxic,Venomoth,Sleep Powder,Signal Beam,Sludge Bomb,HP Ground,Claydol,Earthquake,Rock Slide,Ice Beam,Psychic,Lanturn,Thunderbolt,Surf,Confuse Ray,Ice Beam,Scyther,Signal Beam,Air Slash,Superpower,Quick Attack,FALSE,Quick Claw,Hasty,31,54,Leftovers,Hardy,31,50,Lum Berry,Relaxed,31,52,Brightpowder,Impish,31,51,Brightpowder,Brave,31,50,Brightpowder,Lax,31,53
Pkmn Ranger Flint,FALSE,Fortree Gym,Pkmn Ranger Flint - Fortree Gym,Noctowl,Hypnosis,Double-Edge,Sky Attack,HP Water,Gligar,Earthquake,Rock Slide,Aerial Ace,Quick Attack,Shiftry,Fake Out,Brick Break,Shadow Ball,Giga Drain,Slaking,Hyper Beam,,,,Dodrio,Quick Attack,Double-Edge,Drill Peck,HP Ground,Blaziken,Sky Uppercut,Flamethrower,Quick Attack,Thunderpunch,FALSE,Leftovers,Hardy,31,53,Lum Berry,Sassy,31,53,Leftovers,Timid,31,52,Choice Band,Hardy,31,50,Lum Berry,Jolly,31,53,Lum Berry,Quiet,31,52
Pkmn Breeder Humberto,FALSE,Fortree Gym,Pkmn Breeder Humberto - Fortree Gym,Piloswine,Earthquake,Ice Shard,Ice Beam,Ancientpower,Xatu,Psychic,Giga Drain,HP Fire,Signal Beam,Breloom,Spore,Sky Uppercut,HP Ghost,Giga Drain,Golduck,Surf,Ice Beam,Hypnosis,HP Grass,Porygon2,Thunder Wave,Recover,Double-Edge,HP Water,Swellow,Double-Edge,Sky Attack,HP Ground,Quick Attack,FALSE,Lum Berry,Brave,31,50,Lum Berry,Brave,31,53,Quick Claw,Lax,31,51,Lum Berry,Hardy,31,52,Leftovers,Naive,31,52,Lum Berry,Calm,31,54
Dragon Tamer Sora,FALSE,Fortree Gym,Dragon Tamer Sora - Fortree Gym,Charizard,Earthquake,Fire Blast,Thunderpunch,Dragon Claw,Sceptile,Dragon Claw,Leaf Blade,Thunderpunch,Grasswhistle,Gyarados,Earthquake,Bounce,Hydro Pump,HP Rock,Kingdra,Ice Beam,Dragonbreath,Body Slam,Hydro Pump,Shedinja,Signal Beam,Shadow Sneak,HP Rock,Shadow Ball,Salamence,Aerial Ace,Dragon Claw,Earthquake,Flamethrower,FALSE,Lum Berry,Modest,31,53,Lum Berry,Lax,31,50,Brightpowder,Lax,31,53,Leftovers,Hardy,31,50,Lum Berry,Quiet,31,50,Leftovers,Hardy,31,53
Leader Winona,FALSE,Fortree Gym,Leader Winona - Fortree Gym,Aerodactyl,HP Flying,Ancientpower,Double-Edge,Earthquake,Zapdos,Sky Attack,Thunderbolt,HP Ice,Return,Crobat,Sky Attack,Poison Fang,Giga Drain,HP Ground,Articuno,Ice Beam,Sky Attack,Ice Shard,HP Grass,Flygon,Earthquake,Dragon Claw,Flamethrower,Giga Drain,Moltres,Overheat,Sky Attack,HP Grass,Steel Wing,TRUE,Lum Berry,Naive,31,54,Lum Berry,Careful,31,55,Lum Berry,Hardy,31,54,Lum Berry,Hasty,31,55,Lum Berry,Impish,31,55,Lum Berry,Lax,31,55
Battle Girl Tara,FALSE,Route 120,Battle Girl Tara - Route 120,Pikachu,Thunder,Surf,,,Dragonair,Dragonbreath,Hydro Pump,Thunder,Double-Edge,Clamperl,Hydro Pump,Ice Beam,,,,,,,,,,,,,,,,,,FALSE,Light Ball,Hardy,31,52,Dragon Fang,Calm,31,52,Deepseatooth,Relaxed,31,52,,,,,,,,,,,,
Bird Keeper Colin,FALSE,Route 120,Bird Keeper Colin - Route 120,Skarmory,Spikes,Drill Peck,Steel Wing,Whirlwind,Golduck,Waterfall,Psychic,Brick Break,Ice Beam,Fearow,Steel Wing,Drill Peck,Return,Drill Run,,,,,,,,,,,,,,,,FALSE,Metal Coat,Relaxed,31,50,Twistedspoon,Bold,31,50,Silk Scarf,Relaxed,31,51,,,,,,,,,,,,
Cooltrainer Jerome,FALSE,Route 120,Cooltrainer Jerome - Route 120,Heracross,Megahorn,Earthquake,Rock Slide,Brick Break,Cloyster,Explosion,Ice Beam,Hydro Pump,Ice Shard,Magneton,Thunder,HP Water,Explosion,Endure,Gengar,Hypnosis,Giga Drain,HP Water,Thunder,Dugtrio,Earthquake,,,,,,,,,FALSE,Quick Claw,Impish,31,51,Lum Berry,Bold,31,51,Salac Berry,Lax,31,52,Lum Berry,Lax,31,50,Choice Band,Brave,31,52,,,,
Ninja Boy Keigo,FALSE,Route 120,Ninja Boy Keigo - Route 120,Electrode,Reflect,Thunder,Signal Beam,Toxic,Weezing,Thunder,Sludge Bomb,Destiny Bond,Shadow Ball,Scizor,X-Scissors,Quick Attack,Light Screen,Brick Break,,,,,,,,,,,,,,,,FALSE,Leftovers,Naive,31,50,Magnet,Sassy,31,50,Silk Scarf,Calm,31,51,,,,,,,,,,,,
Parasol Lady Angelica,FALSE,Route 120,Parasol Lady Angelica - Route 120,Jumpluff,Sleep Powder,Giga Drain,Double-Edge,Aerial Ace,Furret,Super Fang,Quick Attack,Double-Edge,Surf,Seaking,Surf,Ice Beam,Return,Attract,,,,,,,,,,,,,,,,FALSE,Lum Berry,Hardy,31,50,Silk Scarf,Relaxed,31,51,Nevermeltice,Bold,31,51,,,,,,,,,,,,
Cooltrainer Jennifer,FALSE,Route 120,Cooltrainer Jennifer - Route 120,Gorebyss,Surf,Ice Beam,Psychic,Double-Edge,Ludicolo,Fake Out,Giga Drain,Waterfall,Ice Beam,Lanturn,Thunder,Surf,Confuse Ray,Ice Beam,Castform,Ice Beam,Thunder,Hydro Pump,Attract,Porygon2,Thunder,Ice Beam,Recycle,Recover,,,,,,FALSE,Petaya Berry,Sassy,31,50,,Timid,31,50,Leftovers,Hasty,31,50,Salac Berry,Careful,31,49,Starf Berry,Hardy,31,51,,,,
Pkmn Ranger Jenna,FALSE,Route 120,Pkmn Ranger Jenna - Route 120,Hitmonlee,Fake Out,Hi Jump Kick,Return,Rock Slide,Rapidash,Blaze Kick,Quick Attack,Drill Run,Wild Charge,Manectric,Thunderbolt,Crunch,Quick Attack,Flamethrower,Girafarig,Body Slam,Earthquake,Psychic,Crunch,,,,,,,,,,,FALSE,Black Belt,Naive,31,51,Silk Scarf,Quiet,31,51,Silk Scarf,Gentle,31,51,Twistedspoon,Modest,31,52,,,,,,,,
Pkmn Ranger Lorenzo,FALSE,Route 120,Pkmn Ranger Lorenzo - Route 120,Ursaring,Facade,Earthquake,Crunch,Brick Break,Grumpig,Psychic,Shadow Ball,Thunderpunch,Confuse Ray,Feraligatr,Crunch,Surf,Ice Beam,Earthquake,Flareon,Fire Blast,Body Slam,Shadow Ball,Iron Tail,,,,,,,,,,,FALSE,Silk Scarf,Careful,31,50,Spell Tag,Careful,31,50,Blackglasses,Relaxed,31,51,Metal Coat,Hardy,31,52,,,,,,,,
Ruin Maniac Chip,FALSE,Route 120,Ruin Maniac Chip - Route 120,Aggron,Rock Slide,Iron Tail,Earthquake,Double-Edge,Claydol,Psychic,Earthquake,Ancientpower,Reflect,Cradily,Giga Drain,Recover,Sludge Bomb,Confuse Ray,Kabutops,Surf,Ancientpower,X-Scissors,Brick Break,,,,,,,,,,,FALSE,Hard Stone,Lax,31,52,Hard Stone,Impish,31,51,Leftovers,Relaxed,31,51,Mystic Water,Calm,31,52,,,,,,,,
Bug Maniac Jeffrey,FALSE,Route 120,Bug Maniac Jeffrey - Route 120,Venomoth,Sleep Powder,Psychic,Sludge Bomb,Giga Drain,Flygon,Dragon Claw,Flamethrower,Earthquake,Rock Slide,Masquerain,Ice Beam,Air Slash,Hydro Pump,Signal Beam,Armaldo,X-Scissors,Rock Slide,Earthquake,Body Slam,,,,,,,,,,,FALSE,Lum Berry,Careful,31,51,Dragon Fang,Bold,31,50,Mystic Water,Timid,31,52,Hard Stone,Hardy,31,51,,,,,,,,
Hex Maniac Tammy,FALSE,Route 121,Hex Maniac Tammy - Route 121,Chimecho,Hypnosis,Recover,Psychic,Signal Beam,Absol,Aerial Ace,Shadow Ball,Body Slam,Protect,Banette,Shadow Sneak,Thunder Wave,Thunderbolt,Shadow Ball,,,,,,,,,,,,,,,,FALSE,Leftovers,Rash,31,52,Lum Berry,Bold,31,52,Spell Tag,Hardy,31,52,,,,,,,,,,,,
Bug Maniac Ali,FALSE,Route 121,Bug Maniac Ali - Route 121,Ledian,Light Screen,Reflect,Attract,Protect,Gligar,HP Ground,Aerial Ace,Sludge Bomb,Rock Tomb,Pinsir,X-Scissors,Brick Break,Quick Attack,Rock Slide,,,,,,,,,,,,,,,,FALSE,Leftovers,Relaxed,31,53,Soft Sand,Relaxed,31,52,Hard Stone,Hardy,31,52,,,,,,,,,,,,
Beauty Jessica,FALSE,Route 121,Beauty Jessica - Route 121,Hitmontop,Fake Out,Brick Break,Mach Punch,Rock Tomb,Dewgong,Ice Beam,Waterfall,Body Slam,Protect,Persian,Fake Out,Return,Shadow Ball,Iron Tail,,,,,,,,,,,,,,,,FALSE,Black Belt,Brave,31,52,Silk Scarf,Sassy,31,51,Silk Scarf,Lax,31,52,,,,,,,,,,,,
Pkmn Breeder David,FALSE,Route 121,Pkmn Breeder David - Route 121,Ninetales,Extrasensory,Flamethrower,Confuse Ray,Body Slam,Bellossom,Stun Spore,Sleep Powder,Giga Drain,Return,Ampharos,Thunder Wave,Fire Punch,Thunderbolt,Signal Beam,,,,,,,,,,,,,,,,FALSE,Leftovers,Rash,31,52,Silk Scarf,Bold,31,52,Silverpowder,Hardy,31,51,,,,,,,,,,,,
Sr. and Jr. Kate and Joy,FALSE,Route 121,Sr. and Jr. Kate and Joy - Route 121,Togetic,Follow Me,Softboiled,,,Medicham,Focus Punch,,,,,,,,,,,,,,,,,,,,,,,,TRUE,Leftovers,Hardy,31,54,Choice Band,Hasty,31,53,,,,,,,,,,,,,,,,
